"year","accession_name","accession","row","column","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
2011,"CNJ02_1_79","R9C16","9","16",22.001,18.931,2.716,19.6,5.4,3.1,6.985
2011,"CNJ02_1_8","R7C53","7","53",22.551,17.787,2.602,21,6.66666666666667,2.77777777777778,6.428
2011,"CNJ02_1_80","R9C17","9","17",20.835,17.872,2.434,22.1,4.8,1.6,3.894
2011,"CNJ02_1_81","R9C18","9","18",22.868,18.367,2.834,21.9,4.3,2.1,5.155
2011,"CNJ02_1_82","R9C19","9","19",23.81,17.49,2.832,22.2,4.5,1.6,3.836
2011,"CNJ02_1_83","R9C20","9","20",23.15,18.82,2.706,22.8,3.4,1.6,4.181
2011,"CNJ02_1_84","R9C21","9","21",20.007,16.497,1.898,21,3.3,2,3.601
2011,"CNJ02_1_85","R9C22","9","22",22.589,17.093,2.389,21.7,5.22222222222222,2.33333333333333,4.808
2011,"CNJ02_1_86","R9C23","9","23",25.17,16.994,2.617,20.5,5.2,2.1,4.951
2011,"CNJ02_1_87","R9C24","9","24",25.637,17.629,2.837,25.2,5.1,3.2,7.293
2011,"CNJ02_1_88","R9C25","9","25",25.818,19.036,3.0911,20.3,4,1.5,4.449
2011,"CNJ02_1_89","R9C26","9","26",25.289,16.641,2.415,18.7,3.1,1.7,3.731
2011,"CNJ02_1_9","R7C54","7","54",25.835,17.762,2.849,25.5,5.33333333333333,2.33333333333333,5.783
2011,"CNJ02_1_90","R9C27","9","27",24.2,17.96,2.656,21.7,4.7,2.2,4.919
2011,"CNJ02_1_91","R9C28","9","28",25.04,19.93,3.328,29.8,3,1.6,5.226
2011,"CNJ02_1_92","R9C29","9","29",23.308,17.997,2.581,19.3,5.55555555555556,1.77777777777778,4.359
2011,"CNJ02_1_93","R9C30","9","30",22.014,18.064,2.468,23.4,4.2,2.4,5.441
2011,"CNJ02_1_94","R9C31","9","31",25.31,18.51,3.1,20.9,4.66666666666667,2,6.198
2011,"CNJ02_1_95","R9C32","9","32",21.58,16.99,2.293,20.3,4.9,1.7,3.816
2011,"CNJ02_1_96","R9C33","9","33",21.725,18.243,2.561,19.8,4.1,1.9,4.132
2011,"CNJ02_1_97","R9C34","9","34",20.43,17.438,2.152,20.6,4.4,2.1,4.189
2011,"CNJ02_1_98","R9C35","9","35",27.19,18.19,2.7193,22.7,4.1,2,4.9501
