"year","accession_name","accession","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight","row","column"
2014,"CNJ04_21_10","R4C10",23.16,18.59,3.0611,24.2,4.66666666666667,2.55555555555556,6.5894,"4","10"
2014,"CNJ04_21_11","R4C11",19.97,16.47,2.2144,19,4.875,2.25,5.0153,"4","11"
2014,"CNJ04_21_12","R4C12",22,16.79,2.4732,25.8,3.6,2.1,4.7587,"4","12"
2014,"CNJ04_21_13","R4C13",18.95,16.3,2.1289,19.1,4.7,2.5,4.6305,"4","13"
2014,"CNJ04_21_14","R4C14",21.83,15.92,2.4044,21.4,4.33333333333333,2.55555555555556,5.1576,"4","14"
2014,"CNJ04_21_15","R4C15",20.31,17.41,2.49,26.1,5.88888888888889,2.88888888888889,5.996,"4","15"
2014,"CNJ04_21_16","R4C16",19.98,16.12,2.156,18.9,5,2.5,4.706,"4","16"
2014,"CNJ04_21_17","R4C17",19.2,15.46,1.895,11,4,2.4,3.828,"4","17"
2014,"CNJ04_21_18","R4C18",19.05,16.2,2.1915,19.2,4.7,2.6,5.2207,"4","18"
2014,"CNJ04_21_19","R4C19",20.13,17.01,2.3493,23.5,4.5,2,4.2258,"4","19"
2014,"CNJ04_21_2","R4C2",18.41,16.53,1.9996,15.3,4.66666666666667,2.33333333333333,4.3583,"4","2"
2014,"CNJ04_21_20","R4C20",17.51,16.56,2.102,17.9,5.3,2.5,4.534,"4","20"
2014,"CNJ04_21_21","R4C21",18.27,15.64,1.9194,18.5,4.5,3.5,5.5053,"4","21"
2014,"CNJ04_21_22","R4C22",21.83,16.98,2.4625,18.6,4.5,2.8,5.8859,"4","22"
2014,"CNJ04_21_23","R4C23",19.96,16.33,2.0089,14.3,5.2,2.7,4.65,"4","23"
2014,"CNJ04_21_24","R4C24",18.98,16.88,2.188,16.4,4.5,2.8,5.065,"4","24"
2014,"CNJ04_21_25","R4C25",19.27,18.26,2.577,21.2,4.1,2.6,5.677,"4","25"
2014,"CNJ04_21_26","R4C26",18.13,15.83,2.145,18.5,3.9,2.2,4.6404,"4","26"
2014,"CNJ04_21_27","R4C27",19.68,17.74,2.49,25.2,4.7,2.7,5.551,"4","27"
2014,"CNJ04_21_28","R4C28",17.94,16.38,1.9392,16.8,4.44444444444444,2.66666666666667,4.3648,"4","28"
2014,"CNJ04_21_29","R4C29",16.88,16.62,2.0675,11,4.88888888888889,2.44444444444444,4.6119,"4","29"
2014,"CNJ04_21_3","R4C3",21.62,16.14,2.2261,24.6,4.66666666666667,2,4.1333,"4","3"
2014,"CNJ04_21_30","R4C30",18.86,16.58,2.0895,24,5.7,2.4,4.4015,"4","30"
2014,"CNJ04_21_31","R4C31",21.26,17.99,2.8046,26.7,4.2,2.4,5.7269,"4","31"
