row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
4,34,CNJ04_21_34,2012,September,332.7,292.2,2.4,9.9,13,7.7,2.29,1.63
4,35,CNJ04_21_35,2012,September,402.9,332.9,2.4,15.5,19,7.5,2.36,1.42
4,36,CNJ04_21_36,2012,September,281.3,234.6,2.4,14.2,16,6.8,2.56,1.7
3,1,CNJ04_2_1,2012,October,318.3,274,2.7,13.3,35,8.6,2.5,1.12
3,2,CNJ04_2_2,2012,October,309.7,257.2,2.9,11.8,30,9.2,2.87,1.9
3,3,CNJ04_2_3,2012,October,344.5,283.2,2.5,14.5,37,8.8,2.67,1.5
3,4,CNJ04_2_4,2012,October,274.3,238,2.7,13.1,36,8.1,2.25,1.28
3,5,CNJ04_2_5,2012,October,229.4,199.7,2.9,12.4,26,10.3,3.51,1.85
3,6,CNJ04_2_6,2012,October,424.1,347.5,2.4,17.1,28,9.2,2.82,1.22
3,7,CNJ04_2_7,2012,October,172.6,121.5,2.6,28.9,26,9.2,3.02,1.6
3,8,CNJ04_2_8,2012,October,207.7,180,2.3,12.3,28,9,2.7,1.58
3,9,CNJ04_2_9,2012,October,320.9,226.7,2.9,28.9,32,10.1,3.01,1.64
3,10,CNJ04_2_10,2012,October,310.8,261.7,2.5,15.7,37,10.3,2.29,1.43
3,11,CNJ04_2_11,2012,October,276.6,204.8,3.1,25.4,44,9,2.48,1.4
3,12,CNJ04_2_12,2012,October,344.9,286.3,2.7,14.7,30,9.5,2.24,1.35
3,13,CNJ04_2_13,2012,October,453.9,358,2.5,20.6,32,8.4,2.8,1.43
3,14,CNJ04_2_14,2012,October,298.6,245.4,2.4,17.3,31,7.7,2.35,1.3
3,15,CNJ04_2_15,2012,October,363.9,312.2,2.9,13.1,23,9.9,3.11,1.12
3,16,CNJ04_2_16,2012,October,397.3,338.9,2.6,11.6,36,8.8,2.25,1.27
3,17,CNJ04_2_17,2012,October,663.5,549.5,2.5,15.1,41,10.1,2.89,1.24
3,18,CNJ04_2_18,2012,October,123.6,119.5,2.1,3.3,30,7.5,2.29,1.18
3,19,CNJ04_2_19,2012,October,234.4,217.1,2.6,5.1,43,10.1,2.79,1.7
3,20,CNJ04_2_20,2012,October,327.5,268.3,2.4,16.9,21,10.3,3.07,1.19
3,21,CNJ04_2_21,2012,October,343.2,321.6,2.7,6.1,15,9.7,2.99,0.94
3,22,CNJ04_2_22,2012,October,39.4,32.2,2.7,18.3,29,8.4,2.82,1.63
3,23,CNJ04_2_23,2012,October,397.1,352.4,2.8,8.8,26,7.3,2.81,1.26
3,24,CNJ04_2_24,2012,October,325.6,297.3,2.9,8.5,45,8.8,2.48,1.19
3,25,CNJ04_2_25,2012,October,292.5,234.5,3.1,18.3,31,8.1,2.66,1.57
3,26,CNJ04_2_26,2012,October,340.2,262.9,2.9,22.3,29,9.2,2.39,0.98
3,27,CNJ04_2_27,2012,October,328.1,267.6,3.4,16.7,34,8.8,2.5,1.12
3,28,CNJ04_2_28,2012,October,148.5,109.7,2.2,25.5,44,7.7,2.62,1.79
3,29,CNJ04_2_29,2012,October,310.3,272.7,3,11.2,37,9.5,2.63,1.12
3,30,CNJ04_2_30,2012,October,606.3,543.6,2.9,10.3,23,7.9,2.26,1.06
