year,accession_name,accession,row,column,berry_length,berry_width,berry_weight,num_seeds,num_peds,num_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,ULvW,UMFW,TY_September,TY_October,SFY_September,SFY_October,MFW_September,MFW_October,PFR_September,PFR_October,Tacy_September,Tacy_October,Brix_September,Brix_October,TA_September,TA_October,PAC_September,PAC_October
2012,CNJ04_2_11,R3C11,3,11,23.99,18.74,3.1987,23.8,3.4,1.8,5.1561,3.14,1.78,0.0628,1.2801494130202775,2.8645,379.6,276.6,257.1,204.8,2.8,3.1,32.3,25.4,20,44,9.5,9,2.67,2.48,1.65,1.4
2012,CNJ04_2_12,R3C12,3,12,22.23,18.73,2.9879,20.9,5.5,3.3,7.7951,3.51111111111111,2.275,0.0932,1.1868659903897492,2.362151515151515,342.2,344.9,296.6,286.3,2.7,2.7,12.3,14.7,8,30,8.8,9.5,2.72,2.24,1.18,1.35
2012,CNJ04_2_13,R3C13,3,13,23.07,16.99,2.6669,14.5,3.1,1.9,4.3426,3.58888888888889,3.4,0.08,1.3578575632725134,2.285578947368421,330.4,453.9,240.2,358,2.5,2.5,25.6,20.6,15,32,7.7,8.4,2.58,2.8,1.41,1.43
2012,CNJ04_2_14,R3C14,3,14,24.06,18.11,2.8611,16.6,4.5,1.7,4.634,3.62222222222222,2.76666666666667,0.1242,1.3285477636664826,2.7258823529411766,277.5,298.6,230.8,245.4,2.2,2.4,16.3,17.3,13,31,10.3,7.7,2.85,2.35,1.75,1.3
2012,CNJ04_2_15,R3C15,3,15,22.73,18.99,3.5099,17.6,3.2,1.8,6.0509,3.48,2.275,0.1929,1.1969457609268037,3.3616111111111113,182.9,363.9,166,312.2,2.8,2.9,8.5,13.1,9,23,9,9.9,3.05,3.11,1.27,1.12
2012,CNJ04_2_16,R3C16,3,16,23.62,18.16,3.0419,18.4,4.2,2.5,6.4564,4.35,5.68571428571429,0.1446,1.300660792951542,2.58256,530.9,397.3,410.9,338.9,2.6,2.6,22.4,11.6,9,36,7.7,8.8,2.68,2.25,1.42,1.27
2012,CNJ04_2_17,R3C17,3,17,20.68,16.95,2.4466,9.7,4.1,2.4,5.212,5.69,6.1625,0.1707,1.2200589970501474,2.171666666666667,125,663.5,120.1,549.5,2.2,2.5,3.9,15.1,17,41,9.9,10.1,2.83,2.89,2.06,1.24
2012,CNJ04_2_18,R3C18,3,18,24.18,18,2.8399,24,3.3,2.1,4.9227,3.23,1.4,0.1019,1.3433333333333333,2.344142857142857,330,123.6,284.1,119.5,2.3,2.1,13.3,3.3,12,30,9.9,7.5,2.98,2.29,1.61,1.18
2012,CNJ04_2_19,R3C19,3,19,20.61,17.17,2.5635,10.2,3.44444444444444,1.77777777777778,4.1626,3.79,2.32,0.106,1.2003494467093767,2.3414624999999973,340.9,234.4,265.7,217.1,2.4,2.6,21.8,5.1,15,43,9,10.1,2.78,2.79,1.75,1.7
2012,CNJ04_2_2,R3C2,3,2,23.92,18.78,3.2666,15,2.8,1.8,5.0947,3.57,2.21666666666667,0.0857,1.2736954206602769,2.8303888888888884,243.8,309.7,204.3,257.2,2.7,2.9,14.6,11.8,7,30,7.5,9.2,2.81,2.87,1.87,1.9
2012,CNJ04_2_20,R3C20,3,20,23.76,17.87,2.7873,22.1,3.4,2.4,5.2655,3.86,2.1,0.0972,1.3296026860660324,2.1939583333333337,307.5,327.5,253.2,268.3,2.2,2.4,16.5,16.9,7,21,8.4,10.3,2.87,3.07,1.62,1.19
2012,CNJ04_2_21,R3C21,3,21,22.38,16.97,2.6893,14.1,3.33333333333333,1.88888888888889,4.5997,4.3,3.15,0.0877777777777778,1.3187978786093106,2.435135294117646,308.3,343.2,285.2,321.6,2.4,2.7,7.3,6.1,12,15,9,9.7,3,2.99,1.18,0.94
2012,CNJ04_2_22,R3C22,3,22,21.84,16.07,2.5099,25.2222222222222,2.6,1.6,3.7955,3.56,26.7,0.1089,1.359054138145613,2.3721875,27.1,39.4,21.9,32.2,1.7,2.7,16.6,18.3,22,29,8.1,8.4,2.83,2.82,1.43,1.63
2012,CNJ04_2_23,R3C23,3,23,23.36,19.05,3.3355,15.6,4.7,2.3,6.1826,3.63,2.9,0.1483,1.226246719160105,2.6880869565217393,427,397.1,351.4,352.4,2.6,2.8,15.1,8.8,10,26,8.4,7.3,2.82,2.81,1.43,1.26
2012,CNJ04_2_24,R3C24,3,24,20.75,18.71,2.8762,20.5,3.8,2.3,5.6857,3.93,1.88,0.0838,1.109032602886157,2.47204347826087,247.1,325.6,233.1,297.3,2.8,2.9,5.3,8.5,22,45,8.1,8.8,2.77,2.48,1.68,1.19
2012,CNJ04_2_25,R3C25,3,25,25.54,19.33,3.6095,21.2222222222222,3.66666666666667,2.22222222222222,6.607,5.2,1.25,0.1147,1.321262286601138,2.973150000000003,293.9,292.5,251.1,234.5,3.4,3.1,12,18.3,20,31,6.6,8.1,2.44,2.66,1.67,1.57
2012,CNJ04_2_26,R3C26,3,26,22.48,17.83,2.9344,21.4,3.9,2.1,5.8617,4.55,2.05,0.0843,1.260796410544027,2.791285714285714,431.8,340.2,327.8,262.9,2.7,2.9,23.4,22.3,10,29,9.2,9.2,2.89,2.39,1.23,0.98
2012,CNJ04_2_27,R3C27,3,27,22.17,18.85,3.191,19.1,3.2,1.6,5.1602,3.57,2.1375,0.092,1.1761273209549072,3.225125,282.3,328.1,220,267.6,3,3.4,21.4,16.7,24,34,8.1,8.8,2.34,2.5,1.3,1.12
2012,CNJ04_2_28,R3C28,3,28,21.8,18.23,2.7963,21.4,3.9,2.1,5.0139,3.13,2.41666666666667,0.0904,1.1958310477235325,2.3875714285714285,171.4,148.5,111.6,109.7,2.2,2.2,30.1,25.5,16,44,8.1,7.7,2.9,2.62,2.09,1.79
