year,accession_name,accession,row,column,BL,BW,BM,NS,NP,NB,TBM,TY,SFY,MFW,PFR,Tacy,Brix,TA,PAC
2011,CNJ02_1_41,R8C32,8,32,22.84,17.77,2.709,25.2,5.3,2.2,5.312,477.7,322.6,2.25,33.45,25.5,8.7,2.615,1.24
2011,CNJ02_1_42,R8C33,8,33,21.985,18.667,2.827,19.4,3.9,1.7,4.544,430.25,376.45,2.15,12.05,19.5,8.95,2.34,1.32
2011,CNJ02_1_43,R8C34,8,34,23.139,17.077,2.329,11.8,4.9,2,3.961,508.4,338.65,2.15,36.550000000000004,31,8.55,2.625,1.605
2011,CNJ02_1_44,R8C35,8,35,24.93,17.82,2.988,21.5,4.28571428571429,2.28571428571429,5.705,565.75,338.4,2.3499999999999996,39.5,25.5,9.35,2.36,0.685
2011,CNJ02_1_45,R8C36,8,36,23.68,18.4,3.005,16.3,5.5,2.5,6.312,516,386.75,2.4000000000000004,24.799999999999997,18,8.600000000000001,2.24,1.29
2011,CNJ02_1_46,R8C37,8,37,22.065,18.359,2.616,23.8,4.8,3,6.927,496.7,252.35000000000002,2.1,50.449999999999996,34.5,8.35,2.4050000000000002,1.4849999999999999
2011,CNJ02_1_47,R8C38,8,38,21.24,16.75,2.098,18.8,3.3,2.3,4.057,725.75,576,2.05,20.9,34,8.25,2.565,1.41
2011,CNJ02_1_48,R8C39,8,39,26.848,19.295,3.511,24.7,4.2,2.8,8.787,629.9,448.55,2.95,31.75,30,8.350000000000001,2.69,1.2850000000000001
2011,CNJ02_1_49,R8C40,8,40,22.136,17.081,2.415,22.6,4.8,2.1,4.753,540.2,441.35,2.2,18.05,32,8.25,2.29,1.275
2011,CNJ02_1_5,R7C50,7,50,24,16.89,2.705,11.9,4.9,2.3,5.279,614.25,497.54999999999995,2.45,17.65,26,8.05,2.55,1.325
2011,CNJ02_1_50,R8C41,8,41,22.859,18.23,2.82,21.5,4,2.4,6.029,548.6,403.2,2.75,29.25,26.5,7.85,2.52,1.375
2011,CNJ02_1_51,R8C42,8,42,23.31,18.63,2.779,21.9,4.4,2.2,5.597,650.45,531.6,2.65,16.95,22,8.25,2.375,1.31
2011,CNJ02_1_52,R8C43,8,43,22.03,18.41,2.715,19,3.8,2.8,6.617,382.6,305.25,2.15,19.55,25.5,8.9,2.585,1.24
2011,CNJ02_1_53,R8C44,8,44,21.518,17.804,2.477,25.6,4.8,2.7,5.526,722.35,596.2,2.4000000000000004,19.3,41.5,8.25,2.37,1.7349999999999999
2011,CNJ02_1_54,R8C45,8,45,23.41,18.49,2.758,20.4,5,3,6.821,686.7,530.1500000000001,2.25,22.950000000000003,26,8.35,2.5650000000000004,1.5750000000000002
2011,CNJ02_1_55,R8C46,8,46,26.1888888888889,17.4777777777778,2.769,21.8,4.7,2.9,6.963,725.7,613.9,2.6500000000000004,14.95,27,8.5,2.45,1.39
2011,CNJ02_1_56,R8C47,8,47,24.217,20.345,3.736,30.5,3.8,2.6,8.554,557.2,448.65,3.0999999999999996,17.3,20.5,8.4,2.73,1.725
2011,CNJ02_1_57,R8C48,8,48,27.5323,19.204,3.438,20.6,4.1,2.5,7.894,565.8,319.3,2.95,45.8,22.5,8.05,2.685,1.105
2011,CNJ02_1_58,R8C49,8,49,24.068,18.025,2.809,20.3,4.3,2,4.782,692.3,574.95,2.7,17.15,33.5,7.95,2.495,1.7650000000000001
2011,CNJ02_1_59,R8C50,8,50,21.441,18.922,2.627,14.8,4.8,2.6,6.204,758.7,596.0999999999999,2.3,20.25,29.5,8.55,2.395,1.8
2011,CNJ02_1_6,R7C51,7,51,23.22,18.41,2.888,26,5,2.7,6.739,585.75,358.29999999999995,2.25,37.95,18,8.55,2.295,1.475
2011,CNJ02_1_60,R8C51,8,51,25.605,18.798,2.941,20.8,4.7,2.5,6.941,424.65,323.6,2.95,28.25,19.5,8.600000000000001,2.55,1.62
2011,CNJ02_1_61,R8C52,8,52,22.991,17.314,2.398,20.8,4.6,1.4,3.395,522.55,450.8,2.5,12.549999999999999,29.5,7.949999999999999,2.4,1.8399999999999999
2011,CNJ02_1_62,R8C53,8,53,22.491,17.861,2.457,23.3,3.5,2.4,5.084,387.4,315.2,2.2,21.549999999999997,31,8.25,2.24,1.52
2011,CNJ02_1_63,R8C54,8,54,21.94,18.585,2.756,26,4.3,2.1,5.43,481.95,429,2.2,10.25,35.5,8.25,2.3499999999999996,1.67
2011,CNJ02_1_64,R9C1,9,1,19.143,15.517,1.622,15.3,3.2,1.8,2.676,286.4,208.05,1.45,23.25,36,8.8,2.175,2.045
2011,CNJ02_1_65,R9C2,9,2,19.552,15.512,1.811,17.1,4.2,1.3,2.616,300.65,123,1.65,59.150000000000006,23,8.8,2.01,1.72
2011,CNJ02_1_66,R9C3,9,3,22.686,17.464,2.392,27.4,5.9,2.7,5.021,439.3,333.9,2.2,24.05,32,8.600000000000001,2.415,NA
2011,CNJ02_1_67,R9C4,9,4,20.594,15.313,1.719,12.1,3.9,1.8,2.726,283.95000000000005,132.55,1.5,54.7,24.5,9.45,2.175,1.895
2011,CNJ02_1_68,R9C5,9,5,22.346,18.425,2.717,24.6,4.7,3,7.01,430,370.55,2.3,13.7,38.5,8.350000000000001,2.285,2.09
2011,CNJ02_1_69,R9C6,9,6,23.99,18,2.635,20.5,3.1,1.7,4.312,468.7,302.55,2.1,35.05,31.5,7.800000000000001,2.29,1.795
2011,CNJ02_1_7,R7C52,7,52,21.431,18.814,2.728,27.2,4.77777777777778,2,4.698,408.04999999999995,309.25,2.35,25.45,41.5,8.15,2.465,1.405
2011,CNJ02_1_70,R9C7,9,7,21.049,18.612,2.541,25.8,4,1.9,4.079,393.05,316.8,2.3,19.25,32,8.600000000000001,2.34,1.81
2011,CNJ02_1_71,R9C8,9,8,20.937,16.934,2.028,16.7,3.5,1.7,3.142,359.4,314.95000000000005,2.5,13.4,21.5,9.2,2.37,1.49
2011,CNJ02_1_72,R9C9,9,9,25.562,18.359,2.954,22.4,4.44444444444444,2.66666666666667,6.944,483.45,380.25,2.5,21.1,31.5,7.6,2.4450000000000003,1.35
2011,CNJ02_1_73,R9C10,9,10,20.475,14.479,1.606,7.7,2.5,1.4,2.01,124.35,74.4,1.9,39.05,27,7.8,2.315,2.645
2011,CNJ02_1_74,R9C11,9,11,20.172,18.342,2.202,23,4,2.1,3.727,178.2,84.15,1.65,62.55,NA,NA,NA,2.13
2011,CNJ02_1_75,R9C12,9,12,20.208,17.07,2.204,23.3,3.7,1.7,3.492,358.55,304.15,2,16.85,31.5,9.2,2.275,1.6
2011,CNJ02_1_76,R9C13,9,13,22.03,19.1,2.767,21,3.8,1.7,3.96,308.29999999999995,150.2,2.45,50.2,37,8.649999999999999,2.36,2.12
2011,CNJ02_1_77,R9C14,9,14,28.82,19.95,3.796,28,3.2,2.1,7.314,325.85,202.9,3,39.15,26,8.8,2.375,1.73
2011,CNJ02_1_78,R9C15,9,15,23.502,18.517,2.758,18.6,5.2,2.9,6.771,232.7,153.25,2.2,34.2,43,8.7,2.505,1.81
2011,CNJ02_1_79,R9C16,9,16,22.001,18.931,2.716,19.6,5.4,3.1,6.985,358.65,291.6,2.35,17.25,22.5,9,2.12,1.76
